text,classification,topics,
Beautiful place for events. Will manage,good,,
"Good atmosphere,good management, and nice food",good,,
"I attended the my cousin wedding last night at Windsor hall really amazing excellent food Nd environment excellent  , staisfy good services Nd I highly recommend it",good,,
Very good service hall is also very nice and sepcialy food quality and taste is very good highly recommended,good,,
Good choice for events.,good,,
Beauty plus good food,good,,
Nice food and atmosphere,good,,
"Location and all other things were fantastic, meal  needs to be improved.",neutral,,
Nice place for wedding banquet. Food is good too,good,,
"Interior is good.
Huge space for parking.
Food quality normal.",good,,
Once again excellent experience with Windsor. Very amazing service and well organized team. Highly recommended.,good,,
Excelant service superb food and the best Hall & decor,good,,
Today I attend the walima of my cousin at Windsor Hall ma shaa Allah good management team keep it up ??,good,,
Best Marriage Halls In Lahore..,good,,
Excellent experience!! Wishing them good luck and keep up the good work!!,good,,
Very Good,good,,
"Excellent banquet hall 6 garrison Hall
Excellent team of management under usman sab gm of banquet hall",good,,
"Awesome decor and, food and service... much recommend ??",good,,
Everything is good except food it's not rotten or something just i don't like the taste,neutral,,
Very nice hall but food just average,neutral,,
"Best Ecperience ever, Great food, Great location and decorations won my heart.",good,,
Good food as well goose service,good,,
"Loved this place, but timing should be flexible",good,,
Best place for parties and buffet. Nice and peaceful environment. Plenty of parking space cost you 100 rupee current buffet rate is 3300 per head timings are from 8:30 PM to 10:30 PM.,good,,
"The place is exuberant, spacial and beautiful. Interior, styling and decorations are on point. I did not enjoy the food much. The taste was missing. Service is excellent, mutton seekh kabab were delicious. Chicken Qorma, Malai booti, naan, Russian, Kachomar, Mix salads and custard were average. Mutton Nihari and Gajrela were good in taste. Very clean and neat Halls. Stair case looked straight out of bollywood movie. The best part is their staff, very well mannered, well behaved and welcoming. They not only helped in showing ways also made sure you get there. Smiling and generous staff. All in all it is worthy of visiting.",neutral,,
"Great place for formal and family events, high quality food, trained staff good service, ample parking available with valet service and direct access from parking to 4th floor banquet & event halls.",good,,
"Such a great place to visit. Their ambience and cleanliness was awesome. I generally don't expect much from banquet venues but these guys were great. Currently, they are organising events on Rooftop. As the pictures exhibit that the location is marvelous. The were completely following the SOPs, completely taking care of their brand name. Food was fresh and served hot. I loved the Hot Ghulab Jamon although I'm not found of it still those were mouth watering.",neutral,,
"The Halls are spacious and the facility has ambience. The decoration and interior is awesome. The food was tasty though the salads were just fine. The lighting in the halls was also brilliant for taking pictures.

The major issue is parking. You have to Park in Emporium Malls parking so its quite of a walk to and from Parking.

A very beautiful place for any function.",good,,
"Good Hotel. Good rooms.

But very bad for wedding events.
Awful parking
Valet drivers are unethical and misuse cars
Entrance issues if wedding event is for more than 300 people
Food is good but for large wedding do not go here",bad,,
The hotel itself is nice but food and service is average.,neutral,,
The most modern and chic place in labore. Food was excellent taste wise and quality wise. Ambiance was astounding,good,,
"Nishat Banquette halls very nice neat and clean. Overall lighting is very best for photography and video. White interior is awesome and pleasant.
Food quality is good",good,,
"1* based on Marriage hall and banqueting.
The event service is terrible - I've had better in 1-2* places. The management is utterly unprofessional and go back on their word. Miscommunication and maangement within their own staff caused us soo much stress on both the night before the event (which was on the day of our Baraat), during the event, and after the shaadi event. We also had a watch stolen from the penthouse suite we'd booked for the bride + groom after the event in their hotel...

We had the food tasting for the marriage 4 days before the event. Main course was lovely, and they accommodated our feedback. HOWEVER. We for some reason weren't allowed to taste the Mocktails and Mojitos we were paying 90k Rs for, until the start of the event. The drinks were, quite literally, undrinkable. The Mint Margerita was disgusting, and made everyone who tried it cough after 1 sip. The Coconut one was literally coconut powder into milk+water. The fruit passion one was admitted to me Nestle juice and chopped fruit. All in the most basic glasses. They kept asking us how to make it. The drinks were uttery unservable, and they refused to refund us.

There were a plethora of issues, both small and big. Even if we overlook them (although you shouldn't for a 5* hotel), there are problems which I wouldn't overlook in a 3* place for a 3* price, let alone this...

Absoloutely terrible.

There's definitely good parts to it, so if you see a good 5* review, those people just got lucky and didn't get the bad parts which ruin all the good stuff like the location, hall itself and main course food. The unprofessional management, thievery, refusal to properly communicate over email, refusal to acknowledge issues, and deal with money issues caused by their own mis-communication between their staff puts a very sour taste in their customer's mouths...",bad,,
